1 480
2 480
3 480
4 480
5 480
6 480
7 480
8 480
9 480
10 480
11 480
12 480
13 480
14 480
15 480
16 480
17 480
18 480
19 480
20 480
21 480
22 480
23 480
24 480
25 480
26 480
27 480
28 480
29 480
30 480
31 480
32 480
33 480
34 480
35 480
36 480
37 485
38 485
39 489
40 480
41 480
42 480
43 480
44 480
45 480
46 466
47 480
48 480
49 480
50 480
51 480
52 480
53 480
54 480
55 480
56 480
57 480
58 480
59 480
60 480
61 480
62 478
63 477
64 477
1 634
2 636
3 636
4 627
5 620
6 620
7 616
8 610
9 610
10 610
11 604
12 601
13 600
14 598
15 596
16 596
17 596
18 595
19 594
20 594
21 594
22 594
23 594
24 594
25 594
26 596
27 596
28 597
29 597
30 594
31 594
32 594
33 594
34 594
35 594
36 594
37 594
38 594
39 594
40 594
41 594
42 594
43 594
44 594
45 594
46 594
47 594
48 594
49 594
50 594
51 594
52 595
53 595
54 595
55 595
56 595
57 595
58 595
59 595
60 595
61 595
62 596
63 596
64 596
1 183
2 183
3 196
4 205
5 211
6 216
7 223
8 230
9 235
10 235
11 241
12 252
13 262
14 274
15 280
16 288
17 295
18 301
19 305
20 310
21 318
22 319
23 323
24 328
25 332
26 336
27 340
28 344
29 344
30 347
31 353
32 353
33 349
34 349
35 361
36 361
37 361
38 363
39 364
40 365
41 365
42 367
43 370
44 367
45 367
46 360
47 360
48 366
49 366
50 366
51 367
52 367
53 367
54 367
55 368
56 368
57 368
58 368
59 368
60 368
61 368
62 368
63 368
64 368
